,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,grade_cat,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,coordinates,close to water,closest_water
93,6021501535,7/25/2014,430000,3,1.5,1580,5000,1,NO,NONE,Average,8,Good,1290,290,1939,0,98117,47.687,-122.386,1570,4500,"(47.687, -122.38600000000001)",FALSE,2.947730478
94,6021501535,12/23/2014,700000,3,1.5,1580,5000,1,NO,NONE,Average,8,Good,1290,290,1939,0,98117,47.687,-122.386,1570,4500,"(47.687, -122.38600000000001)",FALSE,2.947730478
313,4139480200,6/18/2014,1380000,4,3.25,4290,12103,1,NO,GOOD,Average,11,Excellent,2690,1600,1997,0,98006,47.5503,-122.102,3860,11244,"(47.5503, -122.102)",FALSE,1.965275176
314,4139480200,12/9/2014,1400000,4,3.25,4290,12103,1,NO,GOOD,Average,11,Excellent,2690,1600,1997,0,98006,47.5503,-122.102,3860,11244,"(47.5503, -122.102)",FALSE,1.965275176
324,7520000520,9/5/2014,232000,2,1,1240,12092,1,,NONE,Average,6,Low Average,960,280,1922,1984,98146,47.4957,-122.352,1820,7460,"(47.4957, -122.352)",FALSE,1.245222857
325,7520000520,3/11/2015,240500,2,1,1240,12092,1,NO,NONE,Average,6,Low Average,960,280,1922,1984,98146,47.4957,-122.352,1820,7460,"(47.4957, -122.352)",FALSE,1.245222857
345,3969300030,7/23/2014,165000,4,1,1000,7134,1,NO,NONE,Average,6,Low Average,1000,0,1943,0,98178,47.4897,-122.24,1020,7138,"(47.4897, -122.24)",FALSE,1.88778369
346,3969300030,12/29/2014,239900,4,1,1000,7134,1,NO,NONE,Average,6,Low Average,1000,0,1943,,98178,47.4897,-122.24,1020,7138,"(47.4897, -122.24)",FALSE,1.88778369
371,2231500030,10/1/2014,315000,4,2.25,2180,10754,1,,NONE,Very Good,7,Average,1100,1080,1954,0,98133,47.7711,-122.341,1810,6929,"(47.7711, -122.34100000000001)",FALSE,3.902720623
372,2231500030,3/24/2015,530000,4,2.25,2180,10754,1,NO,NONE,Very Good,7,Average,1100,1080,1954,0,98133,47.7711,-122.341,1810,6929,"(47.7711, -122.34100000000001)",FALSE,3.902720623
717,8820903380,7/28/2014,452000,6,2.25,2660,13579,2,NO,NONE,Average,7,Average,2660,0,1937,1990,98125,47.7142,-122.286,1120,8242,"(47.7142, -122.286)",TRUE,0.675329305
718,8820903380,1/2/2015,730000,6,2.25,2660,13579,2,NO,NONE,Average,7,Average,2660,0,1937,1990,98125,47.7142,-122.286,1120,8242,"(47.7142, -122.286)",TRUE,0.675329305
823,726049190,10/2/2014,287500,3,1,1810,7200,1,NO,NONE,Good,7,Average,1130,680,1954,0,98133,47.7493,-122.351,1810,8100,"(47.7493, -122.351)",FALSE,4.098736528
824,726049190,2/18/2015,431000,3,1,1810,7200,1,,NONE,Good,7,Average,1130,680,1954,0,98133,47.7493,-122.351,1810,8100,"(47.7493, -122.351)",FALSE,4.098736528
836,8682262400,7/18/2014,430000,2,1.75,1350,4003,1,NO,NONE,Average,8,Good,1350,0,2004,0,98053,47.7176,-122.033,1350,4479,"(47.7176, -122.03299999999999)",FALSE,8.934203073
837,8682262400,5/13/2015,419950,2,1.75,1350,4003,1,NO,NONE,Average,8,Good,1350,0,2004,0,98053,47.7176,-122.033,1350,4479,"(47.7176, -122.03299999999999)",FALSE,8.934203073
1084,9834200885,7/17/2014,360000,4,2.5,2080,4080,1,NO,NONE,Very Good,7,Average,1040,1040,1962,0,98144,47.572,-122.29,1340,4080,"(47.571999999999996, -122.29)",FALSE,2.279316491
1085,9834200885,4/20/2015,550000,4,2.5,2080,4080,1,NO,NONE,Very Good,7,Average,1040,1040,1962,0,98144,47.572,-122.29,1340,4080,"(47.571999999999996, -122.29)",FALSE,2.279316491
1127,8062900070,9/9/2014,272000,5,1.5,2550,6300,1,NO,NONE,Good,7,Average,1560,990,1959,0,98056,47.5014,-122.172,1380,6300,"(47.5014, -122.17200000000001)",FALSE,3.276950832
1128,8062900070,2/13/2015,369000,5,1.5,2550,6300,1,NO,NONE,Good,7,Average,1560,990,1959,,98056,47.5014,-122.172,1380,6300,"(47.5014, -122.17200000000001)",FALSE,3.276950832
1200,1231000510,9/22/2014,263000,3,1.75,1490,3800,1,NO,NONE,Average,6,Low Average,700,790,1913,0,98118,47.5554,-122.27,2180,4000,"(47.5554, -122.27)",FALSE,1.997411671
1201,1231000510,5/4/2015,510000,3,1.75,1490,3800,1,NO,NONE,Average,6,Low Average,700,790,1913,0,98118,47.5554,-122.27,2180,4000,"(47.5554, -122.27)",FALSE,1.997411671
1232,6117501820,6/18/2014,250275,2,1,790,11234,1,NO,NONE,Good,6,Low Average,790,0,1942,0,98166,47.4413,-122.349,1930,11871,"(47.4413, -122.34899999999999)",TRUE,0.356026368
1233,6117501820,4/28/2015,435000,2,1,790,11234,1,NO,NONE,Good,6,Low Average,790,0,1942,0,98166,47.4413,-122.349,1930,11871,"(47.4413, -122.34899999999999)",TRUE,0.356026368
1448,2228900270,8/12/2014,215000,2,1,1010,6000,1,NO,NONE,Good,6,Low Average,1010,0,1944,,98133,47.771,-122.353,1610,7313,"(47.771, -122.353)",FALSE,3.005579124
1449,2228900270,2/12/2015,302000,2,1,1010,6000,1,,NONE,Good,6,Low Average,1010,0,1944,0,98133,47.771,-122.353,1610,7313,"(47.771, -122.353)",FALSE,3.005579124
1462,3630120700,5/13/2014,757000,3,3.25,3190,5283,2,NO,NONE,Average,9,Better,3190,0,2007,0,98029,47.5534,-122.002,2950,5198,"(47.5534, -122.00200000000001)",FALSE,4.594398827
1463,3630120700,1/7/2015,765000,3,3.25,3190,5283,2,NO,NONE,Average,9,Better,3190,0,2007,0,98029,47.5534,-122.002,2950,5198,"(47.5534, -122.00200000000001)",FALSE,4.594398827
1574,7888000390,6/27/2014,140000,3,1,1060,7473,1,NO,NONE,Average,7,Average,1060,0,1959,0,98198,47.3699,-122.309,1320,7912,"(47.3699, -122.309)",FALSE,1.334931923
1575,7888000390,4/1/2015,235000,3,1,1060,7473,1,NO,NONE,Average,7,Average,1060,0,1959,,98198,47.3699,-122.309,1320,7912,"(47.3699, -122.309)",FALSE,1.334931923
1862,2143700830,10/6/2014,207000,4,2.5,2100,19680,1.5,,NONE,Average,6,Low Average,2100,0,1914,0,98055,47.4787,-122.23,1340,12300,"(47.4787, -122.23)",FALSE,2.659726765
1863,2143700830,3/12/2015,370000,4,2.5,2100,19680,1.5,NO,NONE,Average,6,Low Average,2100,0,1914,0,98055,47.4787,-122.23,1340,12300,"(47.4787, -122.23)",FALSE,2.659726765
2036,3395040550,7/28/2014,250000,3,2.5,1530,2890,2,NO,NONE,Average,7,Average,1530,0,2001,0,98108,47.5434,-122.293,1540,2890,"(47.5434, -122.29299999999999)",FALSE,2.267294623
2037,3395040550,4/29/2015,320000,3,2.5,1530,2890,2,NO,NONE,Average,7,Average,1530,0,2001,0,98108,47.5434,-122.293,1540,2890,"(47.5434, -122.29299999999999)",FALSE,2.267294623
2124,4345000510,10/15/2014,180500,3,2.5,1800,8518,2,NO,NONE,Average,7,Average,1800,0,1996,,98030,47.3643,-122.185,1770,7570,"(47.3643, -122.185)",FALSE,10.49415499
2125,4345000510,4/28/2015,325000,3,2.5,1800,8518,2,,NONE,Average,7,Average,1800,0,1996,0,98030,47.3643,-122.185,1770,7570,"(47.3643, -122.185)",FALSE,10.49415499
2491,9407110710,11/7/2014,195000,3,1.75,1510,8400,1,NO,NONE,Fair,7,Average,980,530,1979,0,98045,47.4476,-121.771,1500,10125,"(47.4476, -121.771)",FALSE,25.50464364
2492,9407110710,2/26/2015,322000,3,1.75,1510,8400,1,NO,NONE,Fair,7,Average,980,530,1979,0,98045,47.4476,-121.771,1500,10125,"(47.4476, -121.771)",FALSE,25.50464364
2494,1000102,9/16/2014,280000,6,3,2400,9373,2,,NONE,Average,7,Average,2400,0,1991,0,98002,47.3262,-122.214,2060,7316,"(47.3262, -122.214)",FALSE,8.683253452
2495,1000102,4/22/2015,300000,6,3,2400,9373,2,NO,NONE,Average,7,Average,2400,0,1991,0,98002,47.3262,-122.214,2060,7316,"(47.3262, -122.214)",FALSE,8.683253452
2500,1781500435,8/20/2014,260000,3,1.75,1580,7344,1,NO,NONE,Very Good,7,Average,1580,0,1911,,98126,47.5256,-122.38,1580,6207,"(47.5256, -122.38)",TRUE,0.98126586
2501,1781500435,2/25/2015,575000,3,1.75,1580,7344,1,NO,NONE,Very Good,7,Average,1580,0,1911,0,98126,47.5256,-122.38,1580,6207,"(47.5256, -122.38)",TRUE,0.98126586
2529,1232000810,9/12/2014,340000,3,2.5,1400,4800,1,NO,NONE,Average,7,Average,1200,200,1921,0,98117,47.6865,-122.379,1440,3840,"(47.6865, -122.37899999999999)",FALSE,3.335446377
2530,1232000810,3/26/2015,537000,3,2.5,1400,4800,1,NO,NONE,Average,7,Average,1200,200,1921,0,98117,47.6865,-122.379,1440,3840,"(47.6865, -122.37899999999999)",FALSE,3.335446377
2562,7856400240,6/27/2014,1620000,4,3,3900,9750,1,NO,EXCELLENT,Very Good,10,Very Good,2520,1380,1972,0,98006,47.5605,-122.158,3410,9450,"(47.5605, -122.15799999999999)",FALSE,2.661065649
2563,7856400240,2/11/2015,1650000,4,3,3900,9750,1,,EXCELLENT,Very Good,10,Very Good,2520,1380,1972,0,98006,47.5605,-122.158,3410,9450,"(47.5605, -122.15799999999999)",FALSE,2.661065649
2629,7983000200,10/5/2014,169575,3,1,1300,8284,1,NO,NONE,Average,7,Average,1300,0,1968,,98003,47.3327,-122.306,1360,7848,"(47.3327, -122.306)",FALSE,2.396806762
2630,7983000200,2/25/2015,250000,3,1,1300,8284,1,NO,NONE,Average,7,Average,1300,0,1968,0,98003,47.3327,-122.306,1360,7848,"(47.3327, -122.306)",FALSE,2.396806762
2974,9136103130,12/1/2014,430000,2,1.5,1090,4013,1.5,,NONE,Average,7,Average,1090,0,1900,0,98103,47.6652,-122.338,1390,4013,"(47.6652, -122.338)",FALSE,4.828666087
2975,9136103130,5/12/2015,685000,2,1.5,1090,4013,1.5,NO,NONE,Average,7,Average,1090,0,1900,,98103,47.6652,-122.338,1390,4013,"(47.6652, -122.338)",FALSE,4.828666087
3031,5083000375,10/27/2014,170000,3,1,1310,9529,1,NO,NONE,Average,7,Average,1310,0,1956,0,98198,47.4105,-122.295,1330,9529,"(47.4105, -122.295)",FALSE,3.417342097
3032,5083000375,3/19/2015,235000,3,1,1310,9529,1,NO,NONE,Average,7,Average,1310,0,1956,0,98198,47.4105,-122.295,1330,9529,"(47.4105, -122.295)",FALSE,3.417342097
3295,7409700215,6/6/2014,550000,3,1.5,1900,5000,1.5,NO,NONE,Average,7,Average,1640,260,1926,0,98115,47.6779,-122.294,2090,5000,"(47.6779, -122.294)",FALSE,2.439618011
3296,7409700215,3/13/2015,921500,3,1.5,1900,5000,1.5,NO,NONE,Average,7,Average,1640,260,1926,0,98115,47.6779,-122.294,2090,5000,"(47.6779, -122.294)",FALSE,2.439618011
3536,1823049202,6/10/2014,175000,6,1.5,1930,8400,1,,NONE,Average,7,Average,1030,900,1971,0,98146,47.4869,-122.34,1780,9520,"(47.4869, -122.34)",FALSE,1.812806527
3537,1823049202,1/7/2015,326000,6,1.5,1930,8400,1,NO,NONE,Average,7,Average,1030,900,1971,0,98146,47.4869,-122.34,1780,9520,"(47.4869, -122.34)",FALSE,1.812806527
3619,2767602141,9/5/2014,525000,3,1.5,1380,4290,1,NO,NONE,Average,7,Average,1080,300,1955,0,98107,47.674,-122.379,1510,3900,"(47.674, -122.37899999999999)",FALSE,2.815742457
3620,2767602141,12/22/2014,650000,3,1.5,1380,4290,1,NO,NONE,Average,7,Average,1080,300,1955,,98107,47.674,-122.379,1510,3900,"(47.674, -122.37899999999999)",FALSE,2.815742457
3752,1254200015,12/16/2014,405000,3,2.5,2260,5500,1.5,NO,NONE,Average,7,Average,1280,980,1910,,98117,47.681,-122.388,1790,5355,"(47.681000000000004, -122.38799999999999)",FALSE,2.438023201
3753,1254200015,4/8/2015,625000,3,2.5,2260,5500,1.5,NO,NONE,Average,7,Average,1280,980,1910,0,98117,47.681,-122.388,1790,5355,"(47.681000000000004, -122.38799999999999)",FALSE,2.438023201
3781,723049156,5/23/2014,149000,3,1,1700,8645,1,NO,NONE,Average,6,Low Average,1700,0,1955,0,98146,47.4899,-122.337,1500,7980,"(47.4899, -122.337)",FALSE,2.045639317
3782,723049156,11/12/2014,284700,3,1,1700,8645,1,NO,NONE,Average,6,Low Average,1700,0,1955,0,98146,47.4899,-122.337,1500,7980,"(47.4899, -122.337)",FALSE,2.045639317
3789,4435000705,7/8/2014,160000,3,1,1350,8700,1.5,NO,NONE,Average,6,Low Average,1350,0,1942,0,98188,47.4497,-122.289,1300,8700,"(47.4497, -122.289)",FALSE,4.955944173
3790,4435000705,3/9/2015,255500,3,1,1350,8700,1.5,NO,NONE,Average,6,Low Average,1350,0,1942,,98188,47.4497,-122.289,1300,8700,"(47.4497, -122.289)",FALSE,4.955944173
3874,4364700600,12/16/2014,216000,3,1,1010,7920,1,NO,NONE,Average,6,Low Average,1010,0,1925,0,98126,47.5249,-122.37,1520,7560,"(47.5249, -122.37)",FALSE,1.732116574
3875,4364700600,3/30/2015,390000,3,1,1010,7920,1,NO,NONE,Average,6,Low Average,1010,0,1925,0,98126,47.5249,-122.37,1520,7560,"(47.5249, -122.37)",FALSE,1.732116574
3946,1825069031,8/14/2014,550000,4,1.75,2410,8447,2,NO,GOOD,Good,8,Good,2060,350,1936,1980,98074,47.6499,-122.088,2520,14789,"(47.6499, -122.088)",TRUE,0.622192784
3947,1825069031,10/16/2014,550000,4,1.75,2410,8447,2,,GOOD,Good,8,Good,2060,350,1936,1980,98074,47.6499,-122.088,2520,14789,"(47.6499, -122.088)",TRUE,0.622192784
4073,3262300940,11/7/2014,875000,3,1,1220,8119,1,NO,NONE,Good,7,Average,1220,0,1955,,98039,47.6328,-122.236,1910,8119,"(47.6328, -122.236)",TRUE,0.975823294
4074,3262300940,2/10/2015,940000,3,1,1220,8119,1,NO,NONE,Good,7,Average,1220,0,1955,,98039,47.6328,-122.236,1910,8119,"(47.6328, -122.236)",TRUE,0.975823294
4338,9353300600,6/24/2014,348500,3,1.5,1360,10726,1,NO,NONE,Good,7,Average,1360,0,1966,0,98059,47.4948,-122.134,1650,10726,"(47.4948, -122.134)",FALSE,6.161281057
4339,9353300600,3/26/2015,370000,3,1.5,1360,10726,1,NO,NONE,Good,7,Average,1360,0,1966,0,98059,47.4948,-122.134,1650,10726,"(47.4948, -122.134)",FALSE,6.161281057
4867,1524079093,8/27/2014,275000,3,1.75,1300,20700,1,NO,NONE,Average,7,Average,1300,0,1962,,98024,47.5587,-121.904,1930,37638,"(47.5587, -121.904)",FALSE,11.71189822
4868,1524079093,3/18/2015,369500,3,1.75,1300,20700,1,,NONE,Average,7,Average,1300,0,1962,0,98024,47.5587,-121.904,1930,37638,"(47.5587, -121.904)",FALSE,11.71189822
4917,9809000020,5/13/2014,1900000,5,2.25,3120,16672,2,NO,NONE,Good,9,Better,3120,0,1969,,98004,47.6458,-122.219,3740,17853,"(47.6458, -122.219)",TRUE,0.599317026
4918,9809000020,3/13/2015,1940000,5,2.25,3120,16672,2,NO,NONE,Good,9,Better,3120,0,1969,0,98004,47.6458,-122.219,3740,17853,"(47.6458, -122.219)",TRUE,0.599317026
5239,3303000130,1/16/2015,370000,3,2.25,1770,7667,1,NO,NONE,Average,8,Good,1270,500,1966,0,98177,47.7724,-122.362,2180,8103,"(47.7724, -122.36200000000001)",FALSE,2.324196754
5240,3303000130,4/28/2015,520000,3,2.25,1770,7667,1,,NONE,Average,8,Good,1270,500,1966,,98177,47.7724,-122.362,2180,8103,"(47.7724, -122.36200000000001)",FALSE,2.324196754
5246,7524400250,8/22/2014,424240,3,2,2080,12094,2,NO,NONE,Good,8,Good,2080,0,1982,0,98052,47.7035,-122.164,2230,12204,"(47.7035, -122.164)",FALSE,3.97550958
5247,7524400250,11/24/2014,589950,3,2,2080,12094,2,NO,NONE,Good,8,Good,2080,0,1982,,98052,47.7035,-122.164,2230,12204,"(47.7035, -122.164)",FALSE,3.97550958
5267,4204400098,1/19/2015,250000,5,1.75,2190,8250,1,NO,AVERAGE,Average,7,Average,1190,1000,1963,0,98055,47.4887,-122.223,2570,8250,"(47.4887, -122.223)",FALSE,1.480619194
5268,4204400098,4/21/2015,385000,5,1.75,2190,8250,1,,AVERAGE,Average,7,Average,1190,1000,1963,0,98055,47.4887,-122.223,2570,8250,"(47.4887, -122.223)",FALSE,1.480619194
5335,6632900574,8/6/2014,367500,5,3,2980,10064,1,NO,NONE,Average,7,Average,1680,1300,1940,0,98155,47.7372,-122.316,1590,7800,"(47.7372, -122.316)",FALSE,2.344469719
5336,6632900574,2/25/2015,595000,5,3,2980,10064,1,NO,NONE,Average,7,Average,1680,1300,1940,0,98155,47.7372,-122.316,1590,7800,"(47.7372, -122.316)",FALSE,2.344469719
5587,2726049071,12/11/2014,510000,2,1,820,4206,1,,NONE,Average,5,Fair,820,0,1949,0,98125,47.7076,-122.284,1810,7200,"(47.7076, -122.28399999999999)",TRUE,0.612693084
5588,2726049071,4/8/2015,489950,2,1,820,4206,1,NO,NONE,Average,5,Fair,820,0,1949,,98125,47.7076,-122.284,1810,7200,"(47.7076, -122.28399999999999)",TRUE,0.612693084
5689,3578401060,12/16/2014,345000,3,2.25,1920,9672,2,NO,NONE,Good,8,Good,1920,0,1984,0,98074,47.6233,-122.046,1950,10125,"(47.6233, -122.046)",FALSE,1.827764356
5690,3578401060,5/4/2015,625000,3,2.25,1920,9672,2,NO,NONE,Good,8,Good,1920,0,1984,0,98074,47.6233,-122.046,1950,10125,"(47.6233, -122.046)",FALSE,1.827764356
5718,1788800630,10/29/2014,96500,3,1,840,12091,1,,NONE,Average,6,Low Average,840,0,1959,0,98023,47.3281,-122.343,840,9324,"(47.3281, -122.34299999999999)",FALSE,2.157635484
5719,1788800630,2/25/2015,185000,3,1,840,12091,1,NO,NONE,Average,6,Low Average,840,0,1959,0,98023,47.3281,-122.343,840,9324,"(47.3281, -122.34299999999999)",FALSE,2.157635484
5751,6381500170,8/26/2014,235000,2,1,910,7617,1,NO,NONE,Average,6,Low Average,910,0,1936,0,98125,47.7332,-122.305,1310,6624,"(47.7332, -122.305)",FALSE,1.507114642
5752,6381500170,1/16/2015,365000,2,1,910,7617,1,NO,NONE,Average,6,Low Average,910,0,1936,0,98125,47.7332,-122.305,1310,6624,"(47.7332, -122.305)",FALSE,1.507114642
5753,1954420170,5/21/2014,368250,3,2.5,2150,7484,2,NO,NONE,Average,8,Good,2150,0,1988,,98074,47.6191,-122.043,2150,6879,"(47.6191, -122.04299999999999)",FALSE,1.904984849
5754,1954420170,11/13/2014,580000,3,2.5,2150,7484,2,NO,NONE,Average,8,Good,2150,0,1988,,98074,47.6191,-122.043,2150,6879,"(47.6191, -122.04299999999999)",FALSE,1.904984849
5966,1545800290,9/5/2014,215000,4,2.5,1700,6675,2,NO,NONE,Average,7,Average,1700,0,1997,0,98038,47.3638,-122.053,1570,7540,"(47.3638, -122.053)",FALSE,19.96562459
5967,1545800290,4/8/2015,315000,4,2.5,1700,6675,2,NO,NONE,Average,7,Average,1700,0,1997,0,98038,47.3638,-122.053,1570,7540,"(47.3638, -122.053)",FALSE,19.96562459
6339,9828200460,6/27/2014,260000,2,1,700,4800,1,NO,NONE,Average,7,Average,700,0,1922,0,98122,47.6147,-122.3,1440,4800,"(47.6147, -122.3)",FALSE,2.654780133
6340,9828200460,1/6/2015,430000,2,1,700,4800,1,NO,NONE,Average,7,Average,700,0,1922,0,98122,47.6147,-122.3,1440,4800,"(47.6147, -122.3)",FALSE,2.654780133
6365,9222400605,11/15/2014,842500,5,4,2980,4500,1.5,,NONE,Average,7,Average,2070,910,1921,0,98115,47.6736,-122.323,1560,4225,"(47.6736, -122.323)",FALSE,4.239729196
6366,9222400605,4/11/2015,850000,5,4,2980,4500,1.5,NO,NONE,Average,7,Average,2070,910,1921,0,98115,47.6736,-122.323,1560,4225,"(47.6736, -122.323)",FALSE,4.239729196
6428,8832900780,10/13/2014,480000,5,2,1760,21562,1,NO,FAIR,Average,8,Good,1560,200,1959,,98028,47.7597,-122.263,2150,12676,"(47.7597, -122.26299999999999)",TRUE,0.721084917
6429,8832900780,4/8/2015,647500,5,2,1760,21562,1,NO,FAIR,Average,8,Good,1560,200,1959,0,98028,47.7597,-122.263,2150,12676,"(47.7597, -122.26299999999999)",TRUE,0.721084917
6527,8645530010,5/15/2014,225000,3,2,1400,7384,1,NO,NONE,Average,7,Average,1150,250,1979,,98058,47.4655,-122.174,1820,7992,"(47.4655, -122.17399999999999)",FALSE,5.436459393
6528,8645530010,3/25/2015,295000,3,2,1400,7384,1,NO,NONE,Average,7,Average,1150,250,1979,0,98058,47.4655,-122.174,1820,7992,"(47.4655, -122.17399999999999)",FALSE,5.436459393
6624,3323059027,5/28/2014,326000,3,2.75,1720,28000,1,NO,NONE,Good,7,Average,1720,0,1958,0,98058,47.4375,-122.176,2000,41817,"(47.4375, -122.176)",FALSE,7.96557655
6625,3323059027,2/25/2015,340000,3,2.75,1720,28000,1,NO,NONE,Good,7,Average,1720,0,1958,,98058,47.4375,-122.176,2000,41817,"(47.4375, -122.176)",FALSE,7.96557655
6713,5417600130,10/10/2014,244500,2,1,910,9000,1,,NONE,Average,5,Fair,910,0,1923,0,98065,47.526,-121.81,1290,9000,"(47.526, -121.81)",FALSE,19.32205557
6714,5417600130,5/12/2015,301000,2,1,910,9000,1,NO,NONE,Average,5,Fair,910,0,1923,0,98065,47.526,-121.81,1290,9000,"(47.526, -121.81)",FALSE,19.32205557
6783,8651510380,8/21/2014,310000,3,2,2070,9195,1,NO,NONE,Average,8,Good,1220,850,1982,,98074,47.6491,-122.061,2080,9551,"(47.6491, -122.061)",FALSE,1.787172119
6784,8651510380,12/16/2014,539000,3,2,2070,9195,1,NO,NONE,Average,8,Good,1220,850,1982,0,98074,47.6491,-122.061,2080,9551,"(47.6491, -122.061)",FALSE,1.787172119
6896,5249801440,12/16/2014,250000,3,1,1660,7650,1.5,,NONE,Average,7,Average,1350,310,1910,0,98118,47.5576,-122.277,1750,5760,"(47.5576, -122.277)",FALSE,2.398942138
6897,5249801440,4/22/2015,570000,3,1,1660,7650,1.5,,NONE,Average,7,Average,1350,310,1910,0,98118,47.5576,-122.277,1750,5760,"(47.5576, -122.277)",FALSE,2.398942138
7171,526059224,9/23/2014,260000,4,1.75,1650,7276,1,NO,NONE,Average,7,Average,1010,640,1977,0,98011,47.7721,-122.206,1840,8550,"(47.7721, -122.206)",FALSE,5.187305562
7172,526059224,2/6/2015,470000,4,1.75,1650,7276,1,NO,NONE,Average,7,Average,1010,640,1977,0,98011,47.7721,-122.206,1840,8550,"(47.7721, -122.206)",FALSE,5.187305562
7238,1446403850,9/16/2014,118125,2,1,790,7153,1,NO,NONE,Good,6,Low Average,790,0,1944,0,98168,47.4869,-122.324,810,7128,"(47.4869, -122.324)",FALSE,3.016940616
7239,1446403850,1/14/2015,212000,2,1,790,7153,1,NO,NONE,Good,6,Low Average,790,0,1944,0,98168,47.4869,-122.324,810,7128,"(47.4869, -122.324)",FALSE,3.016940616
7785,251300110,7/31/2014,225000,3,2.25,2510,12013,2,NO,NONE,Average,8,Good,2510,0,1988,0,98003,47.3473,-122.314,1870,8017,"(47.3473, -122.314)",TRUE,0.789072987
